ID,PRODUCT_ID,TITLE,DESCRIPTION,PRICE,STOCK
1,1,Sony Turntable - PSLX350H,Sony Turntable - PSLX350H/ Belt Drive System/ 33-1/3 and 45 RPM Speeds/ Servo Speed Control/ Supplied Moving Magnet Phono Cartridge/ Bonded Diamond Stylus/ Static Balance Tonearm/ Pitch Control,3757.71,13
2,2,Bose Acoustimass 5 Series III Speaker System - AM53BK,Bose Acoustimass 5 Series III Speaker System - AM53BK/ 2 Dual Cube Speakers With Two 2-1/2' Wide-range Drivers In Each Speaker/ Powerful Bass Module With Two 5-1/2' Woofers/ 200 Watts Max Power/ Black Finish,399,67
3,3,Sony Switcher - SBV40S,Sony Switcher - SBV40S/ Eliminates Disconnecting And Reconnecting Cables/ Compact Design/ 4 A/V Inputs With S-Video Jacks/ 1 A/V Output With S-Video (Y/C)Jack/ 2 Audio Output,49,54
4,4,Sony 5 Disc CD Player - CDPCE375,Sony 5 Disc CD Player- CDPCE375/ 5 Disc Changer/ Variable Line Output/ CD-R/RW Playback Capability/ 20 Track Music Calendar/ Digital Servo Control/ Remote Commander Remote Control,2892.51,7
5,5,Bose 27028 161 Bookshelf Pair Speakers In White - 161WH,Bose 161 Bookshelf Speakers In White - 161WH/ Articulated Array Speaker Design/ High-Excursion Twiddler Drivers/ Magnetically Shielded/ Priced Per Pair/ White Finish,158,17
6,6,Denon Stereo Tuner - TU1500RD,Denon Stereo Tuner - TU1500RD/ RDS Radio Data System/ AM-FM 40 Station Random Memory/ Rotary Tuning Knob/ Dot Matrix FL Display/ Optional Remote,375,89
7,7,KitchenAid Pasta Roller And Cutter - KPRA,KitchenAid Pasta Roller And Cutter - KPRA/ One Pasta Roller/ Two Pasta Cutters/ Cleaning Brush/ Chrome Finish,4884.83,53
8,8,Panasonic Yeast Pro Automatic Breadmaker - SDYD250,Panasonic Yeast Pro Automatic Breadmaker - SDYD250/ Patented Yeast Dispenser/ 2.5 lb To 1.5 lb Loaf/ Choice Of Bread And Baking Modes/ 13 Hour Countdown Digital Timer/ Nonstick Coating For Easy Cleanup,5038.78,17
9,9,Sony Vertical-In-The-Ear Stereo Headphones - MDRJ10,Sony Vertical-In-The-Ear Stereo Headphones - MDRJ10/ Clip On Style/ 13.5 MM Driver Unit/ Blue Finish,5167.2,97
10,10,Panasonic 2-Line Integrated Telephone - KXTSC14W,Panasonic 2-Line Integrated Telephone - KXTSC14W/ Call Waiting/ 50-Station Caller ID/ Voice Mail Message-Waiting Indicator/ Speakerphone/ 3-Line LCD Display/ White Finish,5489.63,60
11,11,Panasonic Integrated Telephone System - KXTS108W,Panasonic Integrated Telephone System - KXTS108W/ 16 Digit LCD With Clock/ Hands Free Speakerphone/ Built-In Data Port/ 10-Station One-Touch Dialing/ 3-Step Ringer Volume/ White Finish,44,75
12,12,Panasonic 2-Line Integrated Telephone System - KXTS208W,Panasonic 2-Line Integrated Telephone System - KXTS208W/ 3-Way Conference/ One-Touch/Speed Dialer/ Speakerphone/ White Finish,7422.23,46
13,13,Sony 300 Disc CD Changer - CDPCX355,Sony 300 Disc CD Changer - CDPCX355/ MegaStorage Control/ CD-R/CD-RW Playback/ 32 Step Program Play/ Control A1 II/ Custom File Memo/ CD Text/ Keyboard Input/ 2 Jog Dials/ Remote Control/ Black Finish,1626.97,15
14,14,Sony 400 Disc MegaStorage CD Changer - CDPCX455,Sony 400 Disc MegaStorage CD Changer - CDPCX455/ MP3 Playback Capability/ CD-R/CD-RW Playback/ Twin Jog Dial For Easy Disc Access/ MegaChanger Control/ Optical Digital Output/ Keyboard Input/ Remote Commander?Remote Control,1619.39,31
15,15,Panasonic Hands-Free Headset - KXTCA86,Panasonic Hands-Free Headset - KXTCA86/ Comfort Fit And  Fold Design/ Noise Cancelling Microphone/ Standard 2.5mm Connection,14.95,69
16,16,Panasonic Hands Free Headset  - KXTCA92,Panasonic Hands Free Headset - KXTCA92/ Comfort Fit With Fold Design/ Noise Cancelling Microphone/ Volume Control/ Mute/ Standard 2.5mm Connection,25,85
17,17,Cuisinart Convection-Oven-Toaster-Broiler With Exact Heat Sensor - TOB165WH,Cuisinart Convection-Oven-Toaster-Broiler With Exact Heat Sensor - TOB165WH/ 0.5 Cubic Foot Oven Capacity/ LED Indicators/ Individual Or Combination Settings/ Always Even Shade Control/ 4 Hour Automatic Shut Off/ Slide-Out Crumb Tray/ Includes Broiling Pan/ White Finish,149,42
18,18,Frigidaire 24' White Built-In Dishwasher - FDB130WH,Frigidaire 24' FDB130RGS White Built-In Dishwasher - FDB130WH/ Convection Drying System/ QuietSound Sound Insulation Package/ 2 Wash Levels/ Adjustable Rinse Aid Dispenser/ Self Cleaning Filter/ White Finish,229,78
19,19,Cuisinart Cordless Electric Kettle - KUA17,Cuisinart Cordless Electric Kettle - KUA17/ 1-3/4 Quart Capacity/ Automatic Shut-Off/ Indicator Light/ Splash Guard Spout/ Cord Storage In Base/ Chrome Finish,70,34
20,20,Omnimount Wall Speaker Mount - 20WLBK,Omnimount Wall Speaker Mount - 20WLBK/ Stainless Steel Shafts And All Necessary Hardware Included/ Supports Speakers Up To 20 lbs./ Sold As Single / Black Finish,39.95,2
21,21,Omnimount Wall Speaker Mount - 20WLWH,Omnimount Wall Speaker Mount - 20WLWH/ Stainless Steel Shafts And All Necessary Hardware Included/ Supports Speakers Up To 20 lbs./ Sold as each / White Finish (Photo Showing Black),40,8
22,22,Denon Semi-Automatic Turntable - Black Finish - DP29F,Denon Semi-Automatic Turntable - DP29F/ Metal Platter/ Built-In RIAA Equalizer/ DC Servo Motor/ 2 Speed 33 + 45 RPM/ Built-In Phono PreAmp,150,16
23,23,Sony Xplod 10-Disc Add-On CD/MP3 Changer - CDX565MXRF,Sony Xplod 10-Disc Add-On CD/MP3 Changer - CDX565MXRF/ CD/CD-R/CD-RW And MP3 Playback/ MP3 Decoding/ D-Bass/ 12-Second Advanced Electronic Shock Protection/ FM Modulator/ 9 Modulation Frequencies/ Wireless Remote,4712.34,44
24,24,Escort Passport Radar And Laser Detector - Black Finish - 8500,"Escort Passport X50 Radar And Laser Detector - 8500/ X-Band, K-Band, Ka-Band Operating Bands/ AlGaAs 280 LED Matrix/Text Display Type/ 3-Level Dimming, Plus Dark Mode/ Auto Mute/ City Mode Sensitivity/ Compact Size/ Red Display",313.95,42
25,25,Peerless Wall TV Mounts In Black - PM1327BK,Peerless Wall TV Mounts - PM1327BK/ TV Wall Mount With Adjustable Width Support Tray For 13'-27' Set/ Black Finish,886.89,98
26,26,Panasonic Laser Toner Cartridge - KXFA83,Panasonic Laser Toner Cartridge - KXFA83/ Used With FL511/F541 Fax Machines,632.98,52
27,27,Sony Compact Disc Player/Recorder - RCDW500C,"Sony Compact Disc Player/Recorder - RCDW500C/ 5-CD/Dual Deck With 4x High Speed Dubbing/ CD, CD-R, CD-RW, MP3 Playback Capable/ Super Bit Mapping Recording/ High Speed Finalizing",299,34
28,28,Sanus WMS3B Black Weather Resistant Small Speaker Wall Mount - WMS3B,Sanus WMS3B Black Small Speaker Wall Mount - WMS3B/ Holds Up To An 8 Pound Speaker/ Multiple Pivot Points/ Weather Resistant For Indoor/Outdoor Use/ Black Finish/ Priced Per Pair,29.99,27
